title,content,option_a,option_b,option_c,option_d,option_e,correct_answer,category,difficulty,year,hint,solution_idea,explanation,tags,is_active
C Q.014,"int a=2,b=5,c=0;
if (a != 2)
if (b < 6) c = 1;
else c = 2;
執行後c的值為何？",0,1,2,不一定,以上皆非或程式錯誤,A,流程控制,easy,,,,"else 會跟距離它最近的 if 配對，也就是跟 ""if (b<6)"" 配對，而不是跟外層的 ""if (a!=2)"" 配對。因為 a!=2 為假（a 本來就是 2），所以整段 if-else 完全不會執行，c 維持初始值 0。","C程式,流程控制,程式識讀",True
C Q.015,"int a = (10<3) || (4!=2+3);
int b = (a)? 7: 8;
int c = (b>7)? 1: 2;
執行後b,c的值為何？","b=7, c=1","b=7, c=2","b=8, c=1","b=8, c=2",以上皆非或程式錯誤,B,流程控制,easy,,,,這是三元運算子的連續使用：a = (10<3) || (4!=2+3)，10<3 為假，4!=5 為真，所以 a 為真（非 0）。b = (a)?7:8，a 為真所以 b=7。c = (b>7)?1:2，7>7 為假，所以 c=2。,"C程式,流程控制,程式識讀",True
C Q.016,"int a=2,b=0,c=0;
if ((b+1) && (a || b)) {
c = 1;
if ((a && !b) || (!a && b))
c = 2;
}
else c = 3;
執行後c的值為何？",0,1,2,3,以上皆非或程式錯誤,C,流程控制,easy,,,,非 0 值在條件判斷中視為真。第一個 if 的條件 (b+1) && (a||b) 因 a=2 非 0 而成立，執行 c=1；第二個 if 的條件 (a&&!b)||(!a&&b) 也因 a 非 0、b 為 0 而成立，所以再把 c 改成 2。,"C程式,流程控制,程式識讀",True
C Q.017,"char a[10]=""abcd 01"", b[10]=""xy pq rs"";
int i=0, j=0;
while (a[i] != '\0') i++;
while (b[j] != ' ') j++;
for (j++; b[j]!=' '; j++)
a[i++] = b[j];
a[i] = '\0';
printf(""%s"", a);
輸出為何？",abcd pq,abcd pqrs,abcd 01pqrs,abcd 01pq,以上皆非或程式錯誤,D,字串,medium,,,,"'\0' 是字串結尾符號：第一個 while 讓 i 走到字串 a 的結尾（""abcd 01"" 共 7 個字元），第二個 while 讓 j 找到 b 中第一個空白（在索引 4）。接著把第一個空白之後、下一個空白之前的內容（""pq""）接到 a 的尾端，得到 ""abcd 01pq""。","C程式,字串,程式識讀",True
C Q.018,"char a[9]=""0x3f2"";
int t = 0;
for (int i=0; i<9 && a[i]; i++) {
if (a[i]>='0' && a[i]<='9')
t = t*10 + a[i]-'0';
}
printf(""%d"",t+10);
輸出為何？",1020,42,3210,60,以上皆非或程式錯誤,B,字串,medium,,,,程式只把字串中的十進位數字字元取出組成整數，'0x' 只是幌子（'x' 不是數字字元會被跳過）。取出的數字依序是 0、3、2，組成 t=32，t+10=42。,"C程式,字串,程式識讀",True
C Q.019,"char a[] = ""fake"";
int b = a[3]-a[1];
char c = 'd' + b;
執行後b,c的內容為何？","b=5, c='i'","b=5, c='d'","b=4, c='h'","b=4, c='d'",以上皆非或程式錯誤,C,字串,easy,,,,字元索引從 0 開始：a[3]-a[1] 即 'e'-'a'=4（'fake' 的索引 1 是 'a'、索引 3 是 'e'）。b=4，c='d'+4='h'。,"C程式,字串,程式識讀",True
C Q.020,"char a[9]=""ab cde"",b[9];
int i=0,j;
while (a[i]) i++;
for (j=0, i--; i>=0; i--,j++)
b[j] = a[i];
b[j] = '\0';
printf(""%s"",b);
輸出為何？",edc ba,ba,ba edc,cde ab,以上皆非或程式錯誤,A,字串,medium,,,,"第一個迴圈讓 i 走到字串 a（""ab cde""）結尾，接著從尾端往前一一複製到 b，等於把 a 反轉存進 b，得到 ""edc ba""。","C程式,字串,程式識讀",True
C Q.021,"struct mystruct {
int x,y;
} s1={1,3},s2={2,4};
s1.x = 0;
s2.y = s1.x+s1.y;
printf(""{%d,%d}, {%d,%d}"", s1.x, s1.y,
s2.x, s2.y);
輸出為何？","{0,0}, {2,0}","{1,3}, {2,4}","{0,3}, {2,4}","{0,3}, {2,3}",以上皆非或程式錯誤,D,資料結構,easy,,,,"這是 struct 的成員存取：s1.x 被改成 0 後，s1 變成 {0,3}；s2.y = s1.x+s1.y = 0+3=3，s2 變成 {2,3}。","C程式,程式識讀,資料結構",True
C Q.022,"struct mystruct {
int x,y;
} s1={1,3},s2={1,4};
if (s1.x == s2.x)
s2 = s1;
printf(""%d %d"", s1.y, s2.y);
輸出為何？",3 3,4 4,3 4,4 3,以上皆非或程式錯誤,A,資料結構,easy,,,,兩個 struct 的成員值相同（s1.x==s2.x 皆為 1）時，struct 可以直接用 = 整個複製，因此 s2 = s1 後 s1、s2 的 y 皆為 3。,"C程式,程式識讀,資料結構",True
C Q.023,"struct mystruct {
int x[5];
} s1={{1,2,3,4,5}},s2;
s2 = s1;
s2.x[0] = 9;
printf(""%d %d"", s1.x[0], s2.x[0]);
輸出為何？",1 1,1 9,9 9,9 1,以上皆非或程式錯誤,B,資料結構,medium,,,,即使 struct 的成員是陣列，struct 之間仍可用 = 做整個複製（此時是逐一複製陣列內容，而非共用位址），所以修改 s2.x[0] 不會影響已經複製完成的 s1.x[0]，s1.x[0] 保持為 1，s2.x[0] 變成 9。,"C程式,程式識讀,資料結構",True
C Q.024,"int a=1, b=5;
int *p, *q;
p = &a;
a += 2;
q = &b;
*q += *p;
printf(""%d %d"",*p, b);
輸出為何？",3 8,3 6,1 5,3 5,以上皆非或程式錯誤,A,指標,easy,,,,這是指標的基本操作：p 指向 a，a += 2 後 a 變成 3（*p 也是 3，因為 p 仍指向 a）；q 指向 b，*q += *p 讓 b 變成 5+3=8。,"C程式,指標,程式識讀",True
C Q.025,"char a[9]=""python"", b[9]=""prog"";
b = a;
printf(""%s"", b);
輸出為何？",python,prog,pythonprog,(輸出空字串),以上皆非或程式有錯誤,E,字串,easy,,,,"陣列名稱本身（如 b）在 C 語言中不能被指定新的位址，""b = a"" 這樣的寫法會導致編譯錯誤。","C程式,字串,程式識讀",True
C Q.026,"char a[9]=""python"", b[9]=""prog"";
b += a;
printf(""%s"", b);
輸出為何？",progpython,python,prog,pythonprog,以上皆非或程式錯誤,E,字串,easy,,,,"陣列（字元陣列）本身不能使用 += 運算子做整個相加，""b += a"" 會導致編譯錯誤。","C程式,字串,程式識讀",True
C Q.027,"int a=0;
float b=1;
a = 1.2 + 10*3.5 + 1.95;
b = (1+3/2)*10.0;
if (b < 21) a += 10;
printf(""%d"", a);
輸出為何？",48,47,38,37,以上皆非或程式錯誤,A,變數與運算,medium,,,,10*3.5 因其中一個運算元是浮點數而以浮點數計算得到 35.0，因此整段加法 1.2+35.0+1.95=38.15 都是浮點數運算；指定給整數 a 時會捨去小數變成 38。計算 b 時 (1+3/2) 全是整數運算：3/2=1，1+1=2，再乘以浮點數 10.0 得到 20.0。因為 b<21 成立，所以 a 再加 10，變成 48。,"C程式,程式識讀,變數與運算",True
C Q.028,"int a[5]={1},*p, s=0;
p = a;
for (int i=0; i<5; i++,p++) {
if (*p == 0) *p = -1;
s += *p;
}
printf(""%d %d"", s, a[2]);
則輸出為何？",5 1,5 0,-3 -1,-5 -1,以上皆非或程式錯誤,C,指標,easy,,,,陣列 a 只有 7 個元素（索引 0~6），但迴圈跑到 i=6 時會存取 a[7]，已經超出陣列範圍，屬於未定義行為（程式錯誤）。迴圈條件應寫成 i<n-1 才正確。,"C程式,指標,程式識讀",True
C Q.029,"int w=5, s=0, a=-1;
if (s) {
if (w < 7) a = 0;
else a = 1;
} else if (0<w && w<7) {
a = (s)? 2: 3;
} else {
a = 4;
}
printf(""%d"", a%4);
輸出為何？",1,2,3,0,以上皆非或程式錯誤,C,流程控制,easy,,,,第一個 if 的條件 s 為 0（假），不成立；第二個 else if 的條件 0<w&&w<7（0<5<7）成立，此時 s 為 0（假），所以 a = (s)?2:3 中取 3。最終 a%4 = 3%4 = 3。,"C程式,流程控制,程式識讀",True
C Q.030,"int a = 3;
char s='e';
if (2<a && a<5)
s += 2;
if (s == 'g')
a += 5;
else a = 0;
printf(""%d %c"", a, s);
輸出為何？",8 e,8 g,0 e,3 g,以上皆非或程式錯誤,B,流程控制,easy,,,,第一個 if 的條件 2<a&&a<5（2<3<5）成立，s 從 'e' 變成 'g'（+2）。第二個 if 的條件 s=='g' 也成立，於是 a 再加 5，變成 8。,"C程式,流程控制,程式識讀",True
C Q.031,"int a=3, s=5;
if (2<a && a<5) {
s -= 4;
if (s == 2)
a += 5;
} else a = 0;
printf(""%d %d"", a,s);
輸出為何？",8 1,0 1,0 5,3 1,以上皆非或程式錯誤,D,流程控制,easy,,,,"else 是跟第一個 if 配對（因為它有大括號界定範圍），第一個 if 的條件 2<a&&a<5 成立，所以進入區塊：s 先變成 5-4=1；內層的 if(s==2) 因為 s 是 1 而不成立，a 沒有被改變，仍是原本的 3。最終 a=3, s=1。","C程式,流程控制,程式識讀",True
C Q.032,"int t = 0, i;
for (i=0; i<10; i++) {
if (i%3 == 1)
t += 1;
}
printf(""%d"", t);
輸出為何？",0,3,4,10,以上皆非或程式錯誤,B,流程控制,easy,,,,"迴圈跑 i=0~9，符合 i%3==1 的有 i=1,4,7 共 3 次，所以 t=3。","C程式,流程控制,程式識讀",True
C Q.033,"int t=0;
for (int i=0; i<100; i+=2) {
if (i%3 == 0)
t += i;
}
printf(""%d"", t);
輸出為何？",16,816,1683,4950,以上皆非或程式錯誤,B,流程控制,easy,,,,"i 依序取偶數 0,2,4,...,98，其中同時是 3 的倍數的（也就是 6 的倍數）有 0,6,12,...,96 共 17 個，加總為 6*(0+1+...+16)=816。","C程式,流程控制,程式識讀",True
C Q.034,"int t = 0,i;
for (i=0; i<10; i++) {
if (i%2==0) continue;
t += i;
if (t > 2*i) break;
}
printf(""%d %d"",t,i);
輸出為何？",10 4,45 10,16 7,25 9,以上皆非或程式錯誤,C,流程控制,medium,,,,"偶數的 i 會被 continue 跳過。奇數 i=1,3,5,7 依序讓 t 累加成 1,4,9,16；當 i=7 時 t=16 > 2*7=14，觸發 break，此時 t=16, i=7。","C程式,流程控制,程式識讀",True
C Q.035,"int t = 0,i;
for (i=0; i<10; t += i++);
t = (t%6 == 0)? t + 10: t + t;
printf(""%d"",t);
輸出為何？",45,55,90,110,以上皆非或程式錯誤,C,流程控制,easy,,,,for 迴圈本身沒有主體（分號結尾），累加的動作寫在 for 的第三個子句 t+=i++ 裡：i 從 0 累加到 9，t 最終是 0+1+...+9=45。接著三元運算子判斷 t%6==0（45%6=3，不成立），所以執行 t=t+t=90。,"C程式,流程控制,程式識讀",True
C Q.036,"int f(int a,int b,int c) {
if ( ? )
return 1;
else return 0;
}
此函數定義為：檢查以 a,b,c是否為直角三角形
的三邊長，其中已知c 為最大值。請問程式中的?
處填入下列何者最為合適？",(a^2 + b^2) == c^2,a^2 + b^2 == c^2,sqrt(a*a + b*b) == c,a*a + b*b == c*c,以上皆非,D,變數與運算,easy,,,,判斷直角三角形要用 a*a+b*b==c*c（乘法算平方）；C 語言中 ^ 是位元 XOR 而不是次方，而用 sqrt 再跟整數比較 == 容易因浮點數誤差出錯，因此正確寫法是 a*a+b*b==c*c。,"C程式,程式識讀,變數與運算",True
C Q.037,"int f(int a){
int i = 0;
while (a%10 == 0) {
i++;
? ;
}
return i;
}
此函數定義為： 保證傳入的 a是一個正整數，回
傳a的結尾有幾個0(十進制)，例如10300的結
尾有2個0。請問程式中的?處應填入下列何者？",a -= 10,a/10,a /= 10,a >> 1,以上皆非,C,程式理解,medium,,,,要讓迴圈判斷 a%10==0 持續成立並逐步計算末尾 0 的個數，每次都要把 a 真正除以 10（更新 a 的值），因此要用 a /= 10（而非只計算 a/10 卻不賦值回去）。,"C程式,程式理解,程式識讀",True
C Q.038,"int t1 = 1, t2 = 1, s;
while (t2 <= 10000) {
?
}
printf(""%d"", t2);
費式數列的定義為：f(1)=f(2)=1，對 i>2，
f(i)=f(i-1)+f(i-2)。
此程式要計算第一個大於 10000的費式數，程式
中的?處應填入下列何者？",t1=t2; t2=t1+t2;,s=t2; t1=t2; t2=t1+t2;,s=t1; t1=t2; t2=s;,s=t1; t1=t2; t2=s+t1;,以上皆非,D,流程控制,medium,,,,費式數列遞推時，t1 要更新成舊的 t2，t2 要更新成「舊 t1 + 新 t1（也就是舊 t2）」；若不先把舊的 t1 存到暫存變數 s，t1 的值會在指定給 t2 之前就被覆蓋掉，因此需要 s=t1; t1=t2; t2=s+t1。,"C程式,流程控制,程式識讀",True
C Q.039,"int t = 0, i;
for (i=0; i<10; i++) {
if (i%2 == 1)
i += 2;
t += i;
}
printf(""%d"", t);
輸出為何？",33,45,55,35,以上皆非或程式錯誤,A,流程控制,medium,,,,奇數的 i 會先被加 2（i+=2）才累加：i=0（t=0）、i=1→3（t=3）、i=4（t=7）、i=5→7（t=14）、i=8（t=22）、i=9→11（t=33，之後 i++ 變 12 使迴圈結束）。最終 t=33。,"C程式,流程控制,程式識讀",True
C Q.040,"int t = 0;
while (t<20) {
if (t%2) t *= 2;
else t += 1;
}
printf(""%d"", t);
輸出為何？",0,20,30,32,以上皆非或程式錯誤,C,流程控制,medium,,,,t 為奇數時翻倍、偶數時加 1：0→1→2→3→6→7→14→15→30，到 30 時已經不小於 20，迴圈結束，t=30。,"C程式,流程控制,程式識讀",True
C Q.041,"int t = 5;
while (t<20) {
t += t/2;
if (t%3 == 0)
break;
}
printf(""%d"",t);
輸出為何？",22,5,15,20,以上皆非或程式錯誤,C,流程控制,medium,,,,t 每次加上自己除以 2 的整數值：t=5→7→10→15。當 t=15 時 15%3==0 成立，觸發 break，最終 t=15。（注意：這裡的除法是 C 語言的整數除法 t/2，不能寫成 t//2——`//` 在 C 語言中是行註解的開頭而不是除法）,"C程式,流程控制,程式識讀",True
C Q.042,"int t = 208140759;
while (t > 9) {
int s = 0;
while (t) {
s += t%10;
t /= 10;
}
t = s;
}
printf(""%d"", t);
輸出為何？",0,9,6,3,以上皆非或程式錯誤,B,流程控制,medium,,,,這是反覆計算「各位數字相加」直到剩下個位數的過程（數字根）：208140759 的各位數字和是 36，36 的各位數字和是 9，9 已經是個位數，迴圈結束，t=9。,"C程式,流程控制,程式識讀",True
C Q.043,"int t = 0, i, j;
for (i=0; i<10; i++) {
for (j=1; j<10; j+=2) {
if ((i+j)%5 == 0)
t++;
}
}
printf(""%d"", t);
輸出為何？",0,5,10,50,以上皆非或程式錯誤,C,流程控制,hard,,,,"j 的可能值是 1,3,5,7,9，對 5 取餘數分別是 1,3,0,2,4，恰好涵蓋 0~4 每個餘數各一次。因此對於任何 i，恰好有一個 j 能讓 (i+j)%5==0 成立，10 個 i 值各貢獻一次，總共 t=10。","C程式,流程控制,程式識讀",True
C Q.044,"int cnt = 0;
for (int t=9; t<50; t+=10) {
int flag=1;
for (int i=2; i<t; i++) {
if (t%i == 0)
flag = 0;
}
cnt += flag;
}
printf(""%d"", cnt);
輸出為何？",0,1,2,3,以上皆非或程式錯誤,C,流程控制,hard,,,,"內層迴圈在檢查 t 是否為質數。外層依序檢查 9,19,29,39,49：9=3*3 不是質數，19 是質數，29 是質數，39=3*13 不是質數，49=7*7 不是質數，因此質數共有 19 和 29 兩個，cnt=2。","C程式,流程控制,程式識讀",True
C Q.045,"int k = 0, i;
for (i=1; i<20; i+=3) {
k += i;
for (i=0; i<3; i++) {
k -= i;
}
}
printf(""%d"", k);
輸出為何？",49,0,70,28,以上皆非或程式錯誤,E,流程控制,medium,,,,內層迴圈的 i 沒有另外用 int 宣告，跟外層迴圈共用同一個 i。內層迴圈結束時一定會把 i 設回 3，導致外層的遞增（i+=3）永遠讓 i 變成 6，之後每次外層檢查 i<20 都成立、內層又把 i 重設成 3，形成無窮迴圈。,"C程式,流程控制,程式識讀",True
C Q.046,"int k = 0,i;
for (i=1; i<20; i+=3) {
k += i;
for (int i=0; i<3; i++) {
k -= i;
}
}
printf(""%d"", k);
輸出為何？",49,0,70,28,以上皆非或程式錯誤,A,流程控制,medium,,,,"內層迴圈用 int i 另外宣告了一個區域變數，跟外層迴圈的 i 互不影響。外層 i 依序為 1,4,7,10,13,16,19（共 7 次），每次讓 k 增加 i 後，內層再讓 k 減去 0+1+2=3。總和為 (1+4+...+19) - 7*3 = 70-21=49。","C程式,流程控制,程式識讀",True
C Q.047,"int a[9]={3,5,1,0,7,3,2,0,9};
int *p, s;
for (p=a; *p; p++);
for (s=0, p++; *p; p++)
s += *p;
printf(""%d"", s);
輸出為何？",9,21,12,30,以上皆非或程式錯誤,C,指標,medium,,,,"第一個迴圈讓指標 p 走到陣列中第一個 0（在索引 3）。第二個迴圈從下一個位置開始累加，直到遇到下一個 0（在索引 7）為止，也就是把兩個 0 之間的數字（7,3,2）加總，s=12。","C程式,指標,程式識讀",True
C Q.048,"若宣告為
int a[100], *p=a;
考慮以下指令：
(1) *p+1 = 5;
(2) *(p+1) = 5;
(3) p += 100; *p = 5;
(4) a += 3; *a = 5;
有幾組指令會導致錯誤或陣列超界？",0,1,2,3,4,D,指標,medium,,,,(1) *p+1=5 是把 5 指定給運算式 (*p)+1，不是合法的變數，編譯錯誤；(4) a+=3 想改變陣列名稱本身指向的位址，同樣是編譯錯誤；(3) p+=100 後指標指向陣列結尾之外，再對其取值會超出陣列範圍。三個都有問題，只有 (2) 是合法且正確的寫法，因此答案是 3 個。,"C程式,指標,程式識讀",True
C Q.049,"int a[9]={2,-3,-1,6,0,3,5,6,8},t=0;
for (int i=0; i<9; i++) {
if (a[i] == 0) break;
if (a[i]%2) {
t *= 2;
} else {
t += 1;
}
}
printf(""%d"", t);
輸出為何？",4,5,42,50,以上皆非或程式錯誤,B,流程控制,medium,,,,偶數時 t 加 1，奇數時 t 乘以 2，遇到 0 就結束：a[0]=2（偶，t=1），a[1]=-3（奇，t=2），a[2]=-1（奇，t=4），a[3]=6（偶，t=5），a[4]=0 觸發 break。最終 t=5。,"C程式,流程控制,程式識讀",True
C Q.050,"int a[3][4] = {{2,-3,-1}, {-3,3,4,6}};
int t = 0,i,j;
for (i=0,j=3; i<3; i++,j--) {
t += a[i][i]-a[i][j];
}
printf(""%d"", t);
輸出為何？",0,1,2,4,以上皆非或程式錯誤,B,陣列,easy,,,,這一段是把二維陣列的主對角線（a[i][i]）減去反對角線（a[i][j]，j 由 3 遞減）加總，未被初始化的元素預設為 0。逐一計算 (a[0][0]-a[0][3]) + (a[1][1]-a[1][2]) + (a[2][2]-a[2][1]) = (2-0)+(3-4)+(0-0) = 1。,"C程式,程式識讀,陣列",True
C Q.051,"int p[21] = {0},i,j,s=0;
for (i=2; i<21; i++) {
if (p[i]) continue;
s++;
for (j=i+i; j<21; j+= i) {
p[j] = 1;
}
}
printf(""%d"", s);
輸出為何？",8,9,10,11,以上皆非或程式錯誤,A,程式理解,medium,,,,"這是質數篩法（埃拉托斯特尼篩法）：從 2 開始，若 p[i] 尚未被標記，代表是質數（s++），並把它的所有倍數標記掉。20 以內的質數有 2,3,5,7,11,13,17,19 共 8 個。","C程式,程式理解,程式識讀",True
C Q.052,"int a[8] = {8,3,1,5,0,7,4,2},i,j;
for (j=0; j<3; j++) {
for (i=1; i<8; i++) {
if (a[i-1] > a[i]) {
int t = a[i-1];
a[i-1] = a[i];
a[i] = t;
}
}
}
執行後a的內容為何？","[0,1,2,3,4,5,7,8]","[3,1,0,4,2,5,7,8]","[1,0,3,4,5,2,7,8]","[1,0,3,4,2,5,7,8]",以上皆非或程式錯誤,D,程式理解,medium,,,,"這是氣泡排序法（bubble sort）跑 3 個回合：第一回合把最大值 8 冒泡到最後；第二、三回合持續讓較大的值往後移。3 個回合後陣列變成 [1,0,3,4,2,5,7,8]。","C程式,程式理解,程式識讀",True
C Q.053,"int a[4]={8,4,3,1}, b[3]={0,4,5},d[7];
int ai=3, di=0;
for (int bi=0; bi<3; bi++) {
while (ai>=0 && a[ai] <= b[bi])
d[di++] = a[ai--];
d[di++] = b[bi];
}
while (ai >= 0) d[di++] = a[ai--];
執行後d的內容為何？","[0,1,4,3,5,4,8]","[0,1,3,4,4,5,8]","[0,4,5,1,3,4,8]","[1,3,4,8,0,4,5]",以上皆非或程式錯誤,B,程式理解,medium,,,,"這是合併兩個排序好的序列的過程：a 從尾端往前是遞增的（1,3,4,8），b 是遞增的（0,4,5），依序比較兩邊較小的值放進 d，合併後得到 [0,1,3,4,4,5,8]。","C程式,程式理解,程式識讀",True
